name,version,homepage,summary,license
rubyzip,1.3.0,http://github.com/rubyzip/rubyzip,rubyzip is a ruby module for reading and writing zip files,BSD 2-Clause
sync,0.5.0,https://github.com/ruby/sync,A module that provides a two-phase lock with a counter.,BSD 2-Clause
unf,0.1.4,https://github.com/knu/ruby-unf,A wrapper library to bring Unicode Normalization Form support to Ruby/JRuby,BSD 2-Clause
webrick,1.7.0,https://github.com/ruby/webrick,HTTP server toolkit,BSD 2-Clause
webrobots,0.1.2,https://github.com/knu/webrobots,A Ruby library to help write robots.txt compliant web robots,BSD 2-Clause
addressable,2.8.0,https://github.com/sporkmonger/addressable,URI Implementation,Apache 2.0
aws-eventstream,1.2.0,https://github.com/aws/aws-sdk-ruby,AWS Event Stream Library,Apache 2.0
aws-partitions,1.569.0,https://github.com/aws/aws-sdk-ruby,"Provides information about AWS partitions, regions, and services.",Apache 2.0
aws-sdk-core,3.130.0,https://github.com/aws/aws-sdk-ruby,AWS SDK for Ruby - Core,Apache 2.0
aws-sdk-kms,1.55.0,https://github.com/aws/aws-sdk-ruby,AWS SDK for Ruby - KMS,Apache 2.0
aws-sdk-s3,1.46.0,https://github.com/aws/aws-sdk-ruby,AWS SDK for Ruby - Amazon S3,Apache 2.0
aws-sigv4,1.4.0,https://github.com/aws/aws-sdk-ruby,AWS Signature Version 4 library.,Apache 2.0
elasticsearch,7.17.1,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/7.16/index.html,Ruby integrations for Elasticsearch,Apache 2.0
elasticsearch-api,7.17.1,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/7.16/index.html,Ruby API for Elasticsearch.,Apache 2.0
elasticsearch-model,7.1.1,https://github.com/elasticsearch/elasticsearch-rails/,ActiveModel/Record integrations for Elasticsearch.,Apache 2.0
elasticsearch-persistence,7.1.1,https://github.com/elasticsearch/elasticsearch-rails/,Persistence layer for Ruby models and Elasticsearch.,Apache 2.0
elasticsearch-transport,7.17.1,https://www.elastic.co/guide/en/elasticsearch/client/ruby-api/7.16/index.html,Ruby client for Elasticsearch.,Apache 2.0
ffi-compiler,1.0.1,http://wiki.github.com/ffi/ffi,Ruby FFI Rakefile generator,Apache 2.0
google-apis-core,0.4.2,https://github.com/google/google-api-ruby-client,Common utility and base classes for legacy Google REST clients,Apache 2.0
google-apis-drive_v3,0.19.0,https://github.com/google/google-api-ruby-client,Simple REST client for Drive API V3,Apache 2.0
google-apis-sheets_v4,0.12.0,https://github.com/google/google-api-ruby-client,Simple REST client for Google Sheets API V4,Apache 2.0
googleauth,0.17.1,https://github.com/googleapis/google-auth-library-ruby,Google Auth Library for Ruby,Apache 2.0
honeycomb-beeline,2.9.0,https://honeycomb.io,Instrument your Ruby apps with Honeycomb,Apache 2.0
idn-ruby,0.1.4,http://github.com/deepfryed/idn-ruby,LibIDN Ruby Bindings.,Apache 2.0
jmespath,1.6.1,http://github.com/trevorrowe/jmespath.rb,JMESPath - Ruby Edition,Apache 2.0
libhoney,2.1.0,https://github.com/honeycombio/libhoney-rb,send data to Honeycomb,Apache 2.0
marcel,1.0.2,https://github.com/rails/marcel,"Simple mime type detection using magic numbers, filenames, and extensions",Apache 2.0
msgpack,1.4.5,http://msgpack.org/,"MessagePack, a binary-based efficient data interchange format.",Apache 2.0
signet,0.16.1,https://github.com/googleapis/signet,Signet is an OAuth 1.0 / OAuth 2.0 implementation.,Apache 2.0
smooch-api,5.29.1,https://github.com/zendesk/sunshine-conversations-ruby,Smooch Ruby Gem,Apache 2.0
term-ansicolor,1.7.1,http://flori.github.com/term-ansicolor,Ruby library that colors strings using ANSI escape sequences,Apache 2.0
thread_safe,0.3.6,https://github.com/ruby-concurrency/thread_safe,Thread-safe collections and utilities for Ruby,Apache 2.0
twitter-text,3.1.0,http://twitter.com,Twitter text handling library,Apache 2.0
websocket-driver,0.7.5,https://github.com/faye/websocket-driver-ruby,WebSocket protocol handler with pluggable I/O,Apache 2.0
websocket-extensions,0.1.5,https://github.com/faye/websocket-extensions-ruby,Generic extension manager for WebSocket connections,Apache 2.0
eventmachine,1.2.7,http://rubyeventmachine.com,Ruby/EventMachine library,Ruby
httpclient,2.8.3,https://github.com/nahi/httpclient,gives something like the functionality of libwww-perl (LWP) in Ruby,Ruby
json,2.6.1,http://flori.github.com/json,JSON Implementation for Ruby,Ruby
pg,0.18.4,https://bitbucket.org/ged/ruby-pg,Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/],Ruby
racc,1.6.0,https://i.loveruby.net/en/projects/racc/,Racc is a LALR(1) parser generator,Ruby
rdoc,6.3.2,https://ruby.github.io/rdoc,RDoc produces HTML and command-line documentation for Ruby projects,Ruby
ruby2_keywords,0.0.5,https://github.com/ruby/ruby2_keywords,Shim library for Module#ruby2_keywords,Ruby
thin,1.8.1,https://github.com/macournoyer/thin,A thin and fast web server,Ruby
webrick,1.7.0,https://github.com/ruby/webrick,HTTP server toolkit,Ruby
pg,0.18.4,https://bitbucket.org/ged/ruby-pg,Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/],BSD
pg,0.18.4,https://bitbucket.org/ged/ruby-pg,Pg is the Ruby interface to the {PostgreSQL RDBMS}[http://www.postgresql.org/],gpl
activerecord-redshift-adapter,0.9.12,http://github.com/fiksu/activerecord-redshift-adapter,Rails 3 database adapter support for AWS RedShift.,new bsd license
partitioned,2.1.0,http://github.com/fiksu/partitioned,Postgres table partitioning support for ActiveRecord.,new bsd license
domain_name,0.5.20190701,https://github.com/knu/ruby-domain_name,Domain Name manipulation library for Ruby,bsd-3-clause
ffi,1.9.24,http://wiki.github.com/ffi/ffi,Ruby FFI,bsd-3-clause
google-protobuf,3.19.2,https://developers.google.com/protocol-buffers,Protocol Buffers,bsd-3-clause
google_drive,3.0.7,https://github.com/gimite/google-drive-ruby,A library to read/write files/spreadsheets in Google Drive/Docs.,bsd-3-clause
pg_query,0.13.0,http://github.com/lfittl/pg_query,PostgreSQL query parsing and normalization library,bsd-3-clause
puma,5.6.2,https://puma.io,"Puma is a simple, fast, threaded, and highly parallel HTTP 1.1 server for Ruby/Rack applications",bsd-3-clause
clamav-client,3.2.0,https://github.com/franckverrot/clamav-client,ClamAV::Client connects to a Clam Anti-Virus clam daemon and send commands.,gpl-v3
colorize,0.8.1,http://github.com/fazibear/colorize,Ruby gem for colorizing text using ANSI escape sequences.,gpl-2.0
eventmachine,1.2.7,http://rubyeventmachine.com,Ruby/EventMachine library,gpl-2.0
diff-lcs,1.5.0,https://github.com/halostatue/diff-lcs,Diff::LCS computes the difference between two Enumerable sequences using the McIlroy-Hunt longest common subsequence (LCS) algorithm,artistic-2.0
redis-objects,1.5.1,http://github.com/nateware/redis-objects,Map Redis types directly to Ruby objects,artistic-2.0
diff-lcs,1.5.0,https://github.com/halostatue/diff-lcs,Diff::LCS computes the difference between two Enumerable sequences using the McIlroy-Hunt longest common subsequence (LCS) algorithm,GPLv2
railroady,1.6.0,http://github.com/preston/railroady,Ruby on Rails model and controller UML class diagram generator.,GPLv2
thin,1.8.1,https://github.com/macournoyer/thin,A thin and fast web server,GPLv2
domain_name,0.5.20190701,https://github.com/knu/ruby-domain_name,Domain Name manipulation library for Ruby,mpl-2.0
geojsonlint,0.1.3,http://github.com/can-explore/geojsonlint,A geojson validator.,bsd 3-clause
promise.rb,0.7.4,https://github.com/lgierth/promise,Ruby implementation of the Promises/A+ spec,public domain
sidekiq,5.2.10,http://sidekiq.org,"Simple, efficient background processing for Ruby",LGPLv3
sqlite3,1.3.13,https://github.com/sparklemotion/sqlite3-ruby,This module allows Ruby programs to interface with the SQLite3 database engine (http://www.sqlite.org),bsd-3
