name,version,homepage,summary,license
excon,0.92.1,https://github.com/excon/excon,"speed, persistence, http(s)",MIT
execjs,2.8.1,https://github.com/rails/execjs,Run JavaScript code from Ruby,MIT
expgen,0.1.1,"",Generate random regular expression,MIT
faraday,1.10.0,https://lostisland.github.io/faraday,HTTP/REST API client library.,MIT
faraday-em_http,1.0.0,https://github.com/lostisland/faraday-em_http,Faraday adapter for Em::Http,MIT
faraday-em_synchrony,1.0.0,https://github.com/lostisland/faraday-em_synchrony,Faraday adapter for EM::Synchrony,MIT
faraday-excon,1.1.0,https://github.com/lostisland/faraday-excon,Faraday adapter for Excon,MIT
faraday-httpclient,1.0.1,https://github.com/lostisland/faraday-httpclient,Faraday adapter for HTTPClient,MIT
faraday-multipart,1.0.3,https://github.com/lostisland/faraday-multipart,Perform multipart-post requests using Faraday.,MIT
faraday-net_http,1.0.1,https://github.com/lostisland/faraday-net_http,Faraday adapter for Net::HTTP,MIT
faraday-net_http_persistent,1.2.0,https://github.com/lostisland/faraday-net_http_persistent,Faraday adapter for NetHttpPersistent,MIT
faraday-patron,1.0.0,https://github.com/lostisland/faraday-patron,Faraday adapter for Patron,MIT
faraday-rack,1.0.0,https://github.com/lostisland/faraday-rack,Faraday adapter for Rack,MIT
faraday-retry,1.0.3,https://github.com/lostisland/faraday-retry,Catches exceptions and retries each request a limited number of times,MIT
file_validators,3.0.0,https://github.com/musaffa/file_validators,ActiveModel file validators,MIT
filelock,1.1.1,http://github.com/sheerun/filelock,Heavily tested yet simple filelocking solution using flock,MIT
filesize,0.2.0,https://github.com/dominikh/filesize,"filesize is a small class for handling filesizes with both the SI and binary prefixes, allowing conversion from any size to any other size.",MIT
find_a_port,1.0.1,http://github.com/jwilger/find_a_port,Find an open TCP port,MIT
fog-aws,3.13.0,https://github.com/fog/fog-aws,Module for the 'fog' gem to support Amazon Web Services.,MIT
fog-core,2.3.0,https://github.com/fog/fog-core,Shared classes and tests for fog providers and services.,MIT
fog-json,1.2.0,http://github.com/fog/fog-json,JSON parsing for fog providers,MIT
fog-xml,0.1.4,https://github.com/fog/fog-xml,XML parsing for fog providers,MIT
formatador,1.1.0,https://github.com/geemus/formatador,Ruby STDOUT text formatting,MIT
fugit,1.5.2,https://github.com/floraison/fugit,time tools for flor,MIT
gem-licenses,0.2.2,http://github.com/dblock/gem-licenses,Attempts to figure out what licenses various gems use.,MIT
geocoder,1.6.4,http://www.rubygeocoder.com,Complete geocoding solution for Ruby.,MIT
globalid,1.0.0,http://www.rubyonrails.org,Refer to any model with a URI: gid://app/class/id,MIT
graphiql-rails,1.4.2,http://github.com/rmosolgo/graphiql-rails,A mountable GraphiQL endpoint for Rails,MIT
graphql,1.8.0.pre10,http://github.com/rmosolgo/graphql-ruby,A GraphQL language and runtime for Ruby,MIT
graphql-batch,0.3.5,https://github.com/Shopify/graphql-batch,A query batching executor for the graphql gem,MIT
graphql-formatter,0.1.1,https://github.com/brandfolder/graphql-formatter,Pretty prints GraphQL queries,MIT
hashdiff,1.0.1,https://github.com/liufengyun/hashdiff,Hashdiff is a diff lib to compute the smallest difference between two hashes.,MIT
hashie,5.0.0,https://github.com/hashie/hashie,Your friendly neighborhood hash library.,MIT
htmlentities,4.3.4,https://github.com/threedaymonk/htmlentities,Encode/decode HTML entities,MIT
http,4.4.1,https://github.com/httprb/http,HTTP should be easy,MIT
http-accept,1.7.0,https://github.com/ioquatix/http-accept,Parse Accept and Accept-Language HTTP headers.,MIT
http-cookie,1.0.4,https://github.com/sparklemotion/http-cookie,A Ruby library to handle HTTP Cookies based on RFC 6265,MIT
http-form_data,2.3.0,https://github.com/httprb/form_data.rb,http-form_data-2.3.0,MIT
http-parser,1.2.3,https://github.com/cotag/http-parser,Ruby bindings to joyent/http-parser,MIT
http_accept_language,2.1.1,https://github.com/iain/http_accept_language,Find out which locale the user preferes by reading the languages they specified in their browser,MIT
http_parser.rb,0.6.0,http://github.com/tmm1/http_parser.rb,Simple callback-based HTTP request/response parser,MIT
i18n,1.10.0,https://github.com/ruby-i18n/i18n,New wave Internationalization support for Ruby,MIT
i18n-generators,1.1.3,https://github.com/hauleth/i18n-generators,Generates I18n locale files for Rails 3 and Rails 2,MIT
jbuilder,2.11.5,https://github.com/rails/jbuilder,Create JSON structures via a Builder-style DSL,MIT
jquery-rails,4.4.0,https://github.com/rails/jquery-rails,Use jQuery with Rails 4+,MIT
json-schema,2.5.0,http://github.com/ruby-json-schema/json-schema/tree/master,Ruby JSON Schema Validator,MIT
jsonapi-resources,0.10.7,https://github.com/cerebris/jsonapi-resources,Easily support JSON API in Rails.,MIT
jsonpath,0.8.12,https://github.com/joshbuddy/jsonpath,Ruby implementation of http://goessner.net/articles/JsonPath/,MIT
jwt,2.3.0,https://github.com/jwt/ruby-jwt,JSON Web Token implementation in Ruby,MIT
libv8,3.16.14.19,http://github.com/cowboyd/libv8,Distribution of the V8 JavaScript engine,MIT
listen,3.7.1,https://github.com/guard/listen,Listen to file modifications,MIT
lograge,0.11.2,https://github.com/roidrage/lograge,Tame Rails' multi-line logging into a single line per request,MIT
loofah,2.3.1,https://github.com/flavorjones/loofah,"Loofah is a general library for manipulating and transforming HTML/XML documents and fragments, built on top of Nokogiri",MIT
mail,2.7.1,https://github.com/mikel/mail,"Mail provides a nice Ruby DSL for making, sending and reading emails.",MIT
marcel,1.0.2,https://github.com/rails/marcel,"Simple mime type detection using magic numbers, filenames, and extensions",MIT
mechanize,2.8.4,https://github.com/sparklemotion/mechanize,The Mechanize library is used for automating interaction with websites,MIT
memoist,0.16.2,https://github.com/matthewrudy/memoist,memoize methods invocation,MIT
memoizable,0.4.2,https://github.com/dkubb/memoizable,Memoize method return values,MIT
metaclass,0.0.4,http://github.com/floehopper/metaclass,Adds a metaclass method to all Ruby objects,MIT
method_source,1.0.0,http://banisterfiend.wordpress.com,retrieve the sourcecode for a method,MIT
mime-types,3.4.1,https://github.com/mime-types/ruby-mime-types/,The mime-types library provides a library and registry for information about MIME content type definitions,MIT
mime-types-data,3.2022.0105,https://github.com/mime-types/mime-types-data/,mime-types-data provides a registry for information about MIME media type definitions,MIT
mini_magick,4.10.1,https://github.com/minimagick/minimagick,Manipulate images with minimal use of memory via ImageMagick / GraphicsMagick,MIT
mini_mime,1.1.2,https://github.com/discourse/mini_mime,A lightweight mime type lookup toy,MIT
mini_portile2,2.8.0,https://github.com/flavorjones/mini_portile,Simplistic port-like solution for developers,MIT
minitest,5.14.4,https://github.com/seattlerb/minitest,"minitest provides a complete suite of testing facilities supporting TDD, BDD, mocking, and benchmarking",MIT
minitest-hooks,1.5.0,http://github.com/jeremyevans/minitest-hooks,Around and before_all/after_all/around_all hooks for Minitest,MIT
minitest-retry,0.2.2,https://github.com/y-yagi/minitest-retry,re-run the test when the test fails,MIT
mocha,1.2.1,http://gofreerange.com/mocha/docs,Mocking and stubbing library,MIT
